teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
CM_Eterna,23,V0,V1,0.31155015,1.6825,1,0
CM_Eterna,25,V1,V0,0.34046053,1.5544,1,0
CM_Eterna,27,V0,V1,0.31155015,1.6825,1,0
CM_Eterna,29,V0,V0,0.63651316,0.6517,1,0
CM_Eterna,31,V0,V0,0.63651316,0.6517,1,0
CM_Eterna,33,V1,V0,0.34046053,1.5544,1,0
CM_Eterna,35,V1,V1,0.63981763,0.6443,1,0
CM_Eterna,37,V1,V1,0.63981763,0.6443,1,0
CM_Eterna,39,V1,V1,0.63981763,0.6443,1,0
CM_Eterna,,<EOS>,V1,0.02279635,5.4551,1,0
CM_Pelargonia,3,V0,<BOS>,0.34615385,1.5305,1,0
CM_Pelargonia,5,V1,V0,0.34046053,1.5544,1,0
CM_Pelargonia,7,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,9,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,11,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,13,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,15,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,17,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,19,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,21,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,23,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,25,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,27,V0,V1,0.31155015,1.6825,1,0
CM_Pelargonia,29,V1,V0,0.34046053,1.5544,1,0
CM_Pelargonia,31,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,33,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,35,V0,V1,0.31155015,1.6825,1,0
CM_Pelargonia,37,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,39,V1,V0,0.34046053,1.5544,1,0
CM_Pelargonia,41,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,43,V0,V1,0.31155015,1.6825,1,0
CM_Pelargonia,45,V1,V0,0.34046053,1.5544,1,0
CM_Pelargonia,47,V0,V1,0.31155015,1.6825,1,0
CM_Pelargonia,49,V1,V0,0.34046053,1.5544,1,0
CM_Pelargonia,51,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,53,V0,V1,0.31155015,1.6825,1,0
CM_Pelargonia,55,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,57,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,59,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,61,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,63,V1,V0,0.34046053,1.5544,1,0
CM_Pelargonia,65,V0,V1,0.31155015,1.6825,1,0
CM_Pelargonia,67,V1,V0,0.34046053,1.5544,1,0
CM_Pelargonia,69,V1,V1,0.63981763,0.6443,1,0
CM_Pelargonia,71,V0,V1,0.31155015,1.6825,1,0
CM_Pelargonia,73,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,75,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,77,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,79,V0,V0,0.63651316,0.6517,1,0
CM_Pelargonia,,<EOS>,V0,0.01151316,6.4406,1,0
CM_Gardenia,1,V2,<BOS>,0.11538462,3.1155,1,0
CM_Gardenia,3,V1,V2,0.29310345,1.7705,1,0
CM_Gardenia,5,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,7,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,9,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,11,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,13,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,15,V0,V1,0.31155015,1.6825,1,0
CM_Gardenia,17,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,19,V1,V1,0.63981763,0.6443,1,0
CM_Gardenia,21,V1,V1,0.63981763,0.6443,1,0
